Timestamp,Total_CPU(%),Total_MEM(%),Total_RSS(KB),Total_VSZ(KB)
2025-07-23 22:32:17,.3,1.5,510848,523004
2025-07-23 22:32:18,.3,1.6,521728,533784
2025-07-23 22:32:19,.3,1.6,533376,545544
2025-07-23 22:32:20,.3,1.6,544256,556324
2025-07-23 22:32:21,.3,1.7,556032,568084
2025-07-23 22:32:22,.3,1.7,566784,578864
2025-07-23 22:32:24,.3,1.7,577536,589644
2025-07-23 22:32:25,.3,1.8,589312,601404
2025-07-23 22:32:26,.3,1.8,600064,612184
2025-07-23 22:32:27,.3,1.8,611840,623944
2025-07-23 22:32:28,.3,1.9,622592,634724
2025-07-23 22:32:29,.3,1.9,634368,646484
2025-07-23 22:32:31,.3,1.9,645120,657264
2025-07-23 22:32:32,.3,2.0,656896,669024
2025-07-23 22:32:33,.3,2.0,667648,679804
2025-07-23 22:32:34,.3,2.0,678528,690584
2025-07-23 22:32:35,.3,2.1,690176,702344
2025-07-23 22:32:36,.3,2.1,701056,713124
2025-07-23 22:32:37,.3,2.1,712832,724884
2025-07-23 22:32:39,.3,2.2,724480,736644
2025-07-23 22:32:40,.3,2.2,735360,747424
2025-07-23 22:32:41,.3,2.2,747136,759184
2025-07-23 22:32:42,.3,2.3,757888,769964
2025-07-23 22:32:43,.3,2.3,768640,780744
2025-07-23 22:32:44,.3,2.3,780416,792504
2025-07-23 22:32:45,.3,2.4,791168,803284
2025-07-23 22:32:47,.3,2.4,802944,815044
2025-07-23 22:32:48,.3,2.5,813696,825824
2025-07-23 22:32:49,.3,2.5,825472,837584
2025-07-23 22:32:50,.3,2.5,836224,848364
2025-07-23 22:32:51,.3,2.6,846976,859144
2025-07-23 22:32:52,.3,2.6,858752,870904
2025-07-23 22:32:54,.3,2.6,869632,881684
2025-07-23 22:32:55,.3,2.7,881280,893444
2025-07-23 22:32:56,.3,2.7,894080,906184
2025-07-23 22:32:57,.3,2.7,905856,917944
2025-07-23 22:32:58,.3,2.8,917632,929704
2025-07-23 22:33:00,.3,2.8,929408,941464
2025-07-23 22:33:01,.3,2.8,940160,952244
2025-07-23 22:33:02,.3,2.9,950912,963024
2025-07-23 22:33:03,.3,2.9,962688,974784
2025-07-23 22:33:04,.3,2.9,974464,986544
2025-07-23 22:33:05,.3,3.0,985216,997324
2025-07-23 22:33:07,0,0,0,0
2025-07-23 22:33:08,0,0,0,0
2025-07-23 22:33:09,0,0,0,0
2025-07-23 22:33:10,0,0,0,0
